id,question
eat_000,What type of dish does Bun Cha Ca Ba Lu serve?
eat_000,Is Bun Cha Ca Ba Lu a morning or evening meal option?
eat_000,How much can I expect to pay for a meal at Bun Cha Ca Ba Lu?
eat_001,What type of dish is served at My Quang Ba Mua
eat_001,Can I dine at My Quang Ba Mua in the evening
eat_001,How much will a meal cost me at My Quang Ba Mua
eat_002,What kinds of food does Banh Xeo Ba Duong serve in the evening?
eat_002,Is Banh Xeo Ba Duong a cheap restaurant with menu items under $5?
eat_002,Can I find Banh Xeo Ba Duong by walking along Hoang Dieu street in District 10?
eat_003,What types of food does Oc Hut Cay Duong serve?
eat_003,Can you tell me where I can find this street-side spot?
eat_003,Is it open in the evening?
eat_004,What type of cuisine does Banh Canh Ruong serve for breakfast and what's typically included in one serving?
eat_005,What are some popular food menu options served by Nem Lui Ba Sen that I can try at their location?
eat_005,How much will it cost to eat at Nem Lui Ba Sen during the evening hours?
eat_005,Can you provide directions to reach Nem Lui Ba Sen's venue located in Hanoi's city center on Tran Phu road?
eat_006,Where is the location of Bun Mam Nem Ba Thuyen?
eat_006,What time Bun Mam Nem Ba Thuyen open?
eat_006,What are some ingredients that Bun Mam Nem Ba Thuyen typically serves with their vermicelli dish?
eat_007,Where is the location of Com Ga A Hai?
eat_007,What dish would I get if I choose Com Ga A Hai at lunchtime?
eat_007,What time does Com Ga A Hai open?
eat_008,How much for a serving at Banh Trang Cuon Thit Heo Tran?
eat_008,What time does Banh Trang Cuon Thit Heo Tran open?
eat_008,What is Banh Trang Cuon Thit Heo Tran?
eat_009,How much does Mi Quang 1A cost for breakfast?
eat_009,What types of toppings can I find at Mi Quang 1A?
eat_009,Is Mi Quang 1A located in the center of the city?
eat_010,What type of cuisine does Pho Ha Noi Xua serve at morning hours?
eat_010,How much does it cost to eat northern-style beef noodle soup at the designated location on Nguyen Chi Thanh?
eat_010,Is pho a popular dish in the center area?
eat_011,What kind of food does Che Xuan Trang serve?
eat_011,How much does it cost to eat at Che Xuan Trang's Vietnamese sweet soup location?
eat_011,Where is the exact address of this Vietnamese sweet soup restaurant located?
eat_012,What type of food can I find at Banh Beo Chen Ba Be during the afternoon?
eat_012,What is the loaction of Banh Beo Chen Ba Be?
eat_012,What time does Banh Beo Chen Ba Be open?
eat_013,What are some of the ingredients served with the sizzling beefsteak at Bo Ne Lan Huong?
eat_013,Where is Bo Ne Lan Huong located in relation to the center area in Hue?
eat_013,Can I have breakfast options like steak at Bo Ne Lan Huong even though it's not specifically billed as a breakfast place?
eat_014,What kind of Vietnamese dish does Bun Bo Ba Thuong serve for breakfast?
