"type"; "name"; "description"; "time"; "price"; "location"; "area"; "note"
"eat";"Bun Bo Hue"; "spicy beef noodle soup"; "morning"; "30k VND (~1.2$)"; "05 Nguyen Cong Tru"; "center"; "Try Bún Bò Huế at O Ty. Very spicy and crowded before 8am. A local favorite for breakfast."
"eat"; "Banh Canh Ca Loc"; "thick fish noodle soup"; "morning"; "25k VND (~1$)"; "Ben Ngu Market"; "west"; "Visit Bánh Canh Thảo for hearty snakehead fish soup. Sold out early!"
"eat"; "Banh Khoai"; "crispy turmeric pancake"; "evening"; "35k VND (~1.4$)"; "47 Le Duan"; "center"; "Bánh Khoái Hạnh serves sizzling turmeric pancakes with shrimp and pork. Dip in special sesame sauce!"
"eat"; "Banh Nam"; "steamed rice flour cake"; "afternoon"; "20k VND (~0.8$)"; "8 Nguyen Binh Khiem"; "center"; "Try Bánh Nậm O Mười – soft, wrapped in banana leaf, topped with shrimp paste."
"eat"; "Banh Bot Loc"; "clear shrimp tapioca dumpling"; "afternoon"; "25k VND (~1$)"; "3 Le Viet Luong"; "south"; "Bánh Bột Lọc Mệ Sửu – chewy dumplings with shrimp and pork, dipped in chili fish sauce."
"eat"; "Com Hen"; "clam rice"; "morning"; "20k VND (~0.8$)"; "Con Hen Island"; "river"; "Cơm Hến Hoa Đông – flavorful cold clam rice with banana flower and pork rinds. Iconic Hue dish!"
"eat"; "Bun Hen"; "clam noodle soup"; "morning"; "22k VND (~0.9$)"; "9 Tran Phu"; "citadel"; "Try Bún Hến Cô Tý, spicy broth with clams, herbs, and crispy toppings."
"eat"; "Che Hue"; "mixed sweet soup"; "afternoon"; "15k VND (~0.6$)"; "Hem 29 Hung Vuong"; "center"; "Chè Hẻm Cô Dung – colorful glass of sweet beans, jelly, and coconut milk. Cool and refreshing!"
"eat"; "Nem Lui"; "grilled pork skewers"; "evening"; "35k VND (~1.4$)"; "12 Vo Thi Sau"; "east"; "Nem Lụi Ba Tuyết – wrap with herbs and rice paper, dip in rich peanut sauce."
"eat"; "Banh Ep"; "pressed tapioca pancake"; "evening"; "10k VND (~0.4$)"; "Kiet 17 Nguyen Huu Canh"; "center"; "Bánh Ép Hường – chewy pancake with egg, beef, and pickled papaya. Made fresh to order."
"eat"; "Xoi Thit Nuong"; "grilled pork sticky rice"; "morning"; "20k VND (~0.8$)"; "45 Tran Hung Dao"; "center"; "Xôi Thịt Nướng Cô Lệ – sticky rice with sweet-savory grilled pork, crispy shallots on top."
"eat"; "Banh Beo"; "steamed rice cakes"; "afternoon"; "20k VND (~0.8$)"; "20 Nguyen Binh Khiem"; "center"; "Bánh Bèo O Hồng – small steamed rice cakes with shrimp and pork. Served in tiny bowls!"
"eat"; "Bun Thit Nuong"; "grilled pork noodle salad"; "afternoon"; "35k VND (~1.4$)"; "11 Nguyen Hue"; "center"; "Bún Thịt Nướng Thanh – cool noodles with grilled pork, herbs, and peanut sauce."
"eat"; "Bo Ne"; "sizzling beef steak"; "morning"; "50k VND (~2$)"; "34 Tran Quoc Toan"; "east"; "Bò Né 34 – hot plate of beef steak with egg, pate, and crispy bread. Best with iced coffee."
"eat"; "Chao Vit"; "duck rice porridge"; "evening"; "30k VND (~1.2$)"; "102 Bach Dang"; "river"; "Cháo Vịt Ba Đào – warm and comforting rice porridge with shredded duck and ginger fish sauce."
"eat"; "Goi Mit"; "young jackfruit salad"; "afternoon"; "25k VND (~1$)"; "Huong So Village"; "north"; "Gỏi Mít Mệ Liên – refreshing salad of boiled jackfruit, sesame, pork skin and herbs."
"eat"; "Com Ga"; "chicken rice"; "all-day"; "35k VND (~1.4$)"; "17 Nguyen Trai"; "center"; "Cơm Gà Tuyết Nhung – tender chicken over fragrant rice. Comes with papaya salad and soup."
"eat"; "Chao Luon"; "eel porridge"; "morning"; "30k VND (~1.2$)"; "52 Nguyen Cong Tru"; "center"; "Cháo Lươn Cô Bình – rice porridge with sautéed eel and spicy satay oil. Local favorite."
"eat"; "Bun Cha"; "grilled pork with vermicelli"; "afternoon"; "40k VND (~1.6$)"; "63 Le Loi"; "center"; "Bún Chả Hà Nội O Nga – grilled pork patties in broth, served with noodles and herbs."
"eat"; "Bo Kho Banh Mi"; "beef stew with baguette"; "morning"; "45k VND (~1.8$)"; "22 Phan Dinh Phung"; "center"; "Bò Kho Cô Ngọc – thick beef stew with star anise and carrots. Dip with crusty bread!"
"eat"; "Pho Bo"; "beef noodle soup"; "morning"; "40k VND (~1.6$)"; "7 Ba Trieu"; "center"; "Phở Bò Hưng – light broth, tender beef slices, served with lime and herbs."
"eat"; "Pho Ga"; "chicken noodle soup"; "morning"; "35k VND (~1.4$)"; "10 Ly Thuong Kiet"; "center"; "Phở Gà Thanh – clear broth with shredded chicken, great for light breakfast."
"eat"; "Banh My Heo Quay"; "roast pork baguette"; "afternoon"; "20k VND (~0.8$)"; "19 Le Loi"; "center"; "Bánh Mì Heo Quay O Sinh – crusty baguette with crispy roast pork, cucumber, and chili sauce."
"eat"; "Oc Hut"; "spicy stir-fried snails"; "evening"; "30k VND (~1.2$)"; "Kiet 86 Nguyen Sinh Cung"; "east"; "Ốc Hút Bà Già – small snails stir-fried in lemongrass and chili oil. Perfect with iced tea."
"eat"; "Bun Rieu"; "crab tomato noodle soup"; "morning"; "30k VND (~1.2$)"; "6 Nguyen Thai Hoc"; "center"; "Bún Riêu Cô Ba – crab paste and tomato broth with tofu and herbs. Slightly sour, very satisfying."
"eat"; "Bun Oc"; "snail noodle soup"; "morning"; "35k VND (~1.4$)"; "33 Hai Ba Trung"; "center"; "Bún Ốc Cô Tấm – tangy tomato-based broth with river snails and tofu. Served hot with herbs."
"eat"; "Chao Ca"; "fish porridge"; "morning"; "30k VND (~1.2$)"; "21 Le Quy Don"; "east"; "Cháo Cá Cô Nhàn – rice porridge with snakehead fish, ginger, and scallions. Light and nourishing."
"eat"; "Banh Trang Trung"; "Vietnamese pizza"; "evening"; "20k VND (~0.8$)"; "2 Dang Thai Than"; "citadel"; "Bánh Tráng Trứng 9X – grilled rice paper with egg, sausage, dried shrimp and mayo."
"eat"; "Banh It"; "sticky rice dumpling"; "afternoon"; "15k VND (~0.6$)"; "Chuong Duong Ward"; "south"; "Bánh Ít Lá Gai Bà Mười – sweet black sticky cake filled with mung bean. Wrapped in banana leaf."
"eat"; "Mi Quang"; "turmeric noodle dish"; "all-day"; "35k VND (~1.4$)"; "15 Ton That Tung"; "west"; "Mì Quảng Phố Núi – thick turmeric noodles with shrimp, pork and peanuts. From Quang Nam region."
"eat"; "Bo La Lot"; "beef wrapped in betel leaf"; "evening"; "40k VND (~1.6$)"; "29 Nguyen Sinh Cung"; "east"; "Bò Lá Lốt Anh Quân – grilled on charcoal and served with vermicelli and fresh herbs."
"eat"; "Bun Mang Vit"; "duck and bamboo noodle soup"; "morning"; "35k VND (~1.4$)"; "18 Nguyen Huu Canh"; "center"; "Bún Măng Vịt Bà Hạnh – duck meat in bamboo broth with ginger sauce on the side."
"eat"; "Sup Cua"; "crab soup"; "afternoon"; "25k VND (~1$)"; "10A Chu Van An"; "center"; "Súp Cua Ly – thick crab soup with quail egg, corn and mushroom. Popular street snack."
"eat"; "Banh Cuon"; "steamed rice rolls"; "morning"; "30k VND (~1.2$)"; "67 Hung Vuong"; "center"; "Bánh Cuốn Minh – soft rice rolls filled with pork and mushrooms. Served with fried shallots and fish sauce."
"eat"; "Bo Vien"; "beef meatball soup"; "all-day"; "35k VND (~1.4$)"; "9B Nguyen Khoa Chiem"; "south"; "Bò Viên Cô Ba – flavorful beef broth with homemade meatballs, noodles, and pickled chili."
"eat"; "Chao Long"; "offal porridge"; "morning"; "25k VND (~1$)"; "26 Nguyen Sinh Cung"; "east"; "Cháo Lòng Chị Hồng – pork organs, blood cubes, and porridge. Served with pepper and lime."
"eat"; "Banh Mi Pate"; "pâté baguette"; "afternoon"; "20k VND (~0.8$)"; "4 Truong Dinh"; "center"; "Bánh Mì Pâté O Lành – warm baguette with pâté, pickles, and a dash of chili sauce."
"eat"; "Bun Bo Nam Bo"; "Southern-style dry beef noodles"; "evening"; "35k VND (~1.4$)"; "35 Nguyen Cong Tru"; "center"; "Bún Bò Nam Bộ Hoàng – dry noodles with marinated beef, peanuts, and sweet-sour sauce."
"eat"; "Goi Cuon"; "fresh spring rolls"; "afternoon"; "25k VND (~1$)"; "11 Ngo Quyen"; "center"; "Gỏi Cuốn Cô Trang – rice paper rolls with shrimp, pork, vermicelli and herbs. Served cold with dipping sauce."
