,type,name,description,time,price,location,area,note
0,eat,Bun Cha Ca Ba Lu,grilled fish noodle soup,morning,35k VND (~1.4$),319 Hung Vuong,center,"Bun Cha Ca Ba Lu is known for its rich fish-based broth, crispy fried fish cakes, and fresh herbs."
1,eat,My Quang Ba Mua,turmeric noodle with pork and shrimp,afternoon,40k VND (~1.6$),95 Nguyen Tri Phuong,center,"My Quang Ba Mua is a popular local chain offering bold turmeric noodles topped with shrimp, pork, and sesame rice cracker."
2,eat,Banh Xeo Ba Duong,crispy pancake with pork and shrimp,evening,50k VND (~2$),280/23 Hoang Dieu,center,"Banh Xeo Ba Duong is a hidden alley gem famous for its crispy pancakes, grilled pork skewers, and peanut dipping sauce."
3,eat,Oc Hut Cay Duong,spicy baby snails,evening,25k VND (~1$),59 Ong Ich Khiem,center,"Oc Hut Cay Duong is a street-side spot serving spicy stir-fried snails with lemongrass, chili, and mango."
4,eat,Banh Canh Ruong,thick noodle soup with pork,morning,30k VND (~1.2$),20 Ha Thi Than,beach,Banh Canh Ruong serves a hearty bowl of chewy noodles in peppery broth with pork hock and quail egg.
5,eat,Nem Lui Ba Sen,grilled pork skewers with rice paper,evening,45k VND (~1.8$),183 Tran Phu,center,Nem Lui Ba Sen is famous for smoky pork skewers wrapped in rice paper with fresh herbs and thick dipping sauce.
6,eat,Bun Mam Nem Ba Thuyen,vermicelli with fermented fish sauce,afternoon,30k VND (~1.2$),14 Tran Ke Xuong,center,"Bun Mam Nem Ba Thuyen features savory fermented fish sauce with pork, young jackfruit, and crunchy toppings."
7,eat,Com Ga A Hai,chicken rice,lunch,35k VND (~1.4$),96 Phan Chau Trinh,center,"Com Ga A Hai serves yellow rice with shredded chicken, onion oil, and pickled vegetables. Local favorite!"
8,eat,Banh Trang Cuon Thit Heo Tran,pork wrapped in rice paper,lunch,90k VND (~3.6$),4 Le Duan,center,"Thit Heo Tran offers tender pork slices, soft rice paper, and a tray of herbs with spicy anchovy dipping sauce."
9,eat,Mi Quang 1A,turmeric noodle with pork and egg,morning,35k VND (~1.4$),1A Hai Phong,center,"Mi Quang 1A is known for rich broth and golden noodles, topped with quail egg, pork, and crispy rice cracker."
10,eat,Pho Ha Noi Xua,northern-style beef noodle soup,morning,40k VND (~1.6$),15 Nguyen Chi Thanh,center,Pho Ha Noi Xua brings traditional northern-style pho with clear beef broth and fresh herbs.
11,eat,Che Xuan Trang,Vietnamese sweet soup,afternoon,20k VND (~0.8$),31 Le Duan,center,"Che Xuan Trang offers colorful sweet soups with jelly, beans, coconut milk, and crushed ice."
12,eat,Banh Beo Chen Ba Be,steamed rice cakes in small bowls,afternoon,25k VND (~1$),100 Hoang Van Thu,center,"Banh Beo Chen Ba Be serves soft rice cakes topped with shrimp floss, scallion oil, and crispy pork skin."
13,eat,Bo Ne Lan Huong,sizzling beefsteak with egg,morning,55k VND (~2.2$),69 Nguyen Tri Phuong,center,"Bo Ne Lan Huong serves steak on a hotplate with eggs, pate, and fresh bread. Hearty local breakfast."
14,eat,Bun Bo Ba Thuong,hue-style spicy beef noodle soup,morning,35k VND (~1.4$),23 Ngo Gia Tu,center,"Bun Bo Ba Thuong offers spicy broth with lemongrass, beef shank, and thick round noodles."
15,eat,Banh My Ba Lan,vietnamese baguette with pork,morning,20k VND (~0.8$),62 Trung Nu Vuong,center,Banh My Ba Lan is a street cart famous for crunchy baguettes with homemade pork floss and pickled veggies.
